Vertices,CudaTime,OpenMpTime,SequentialTime,CudaRes,OpenMpRes,SequentialRes
100,11656,126,277,19,19,20
110,11882,98,346,21,21,20
120,12559,128,436,20,21,21
130,12981,134,467,24,23,23
140,13007,147,565,25,26,26
150,13613,165,674,26,26,27
200,15972,260,1209,34,34,32
300,20076,532,2790,45,45,45
400,24818,867,4949,57,57,57
500,30139,1347,7891,68,68,68
600,38859,1921,11579,80,80,80
700,44535,2712,16158,89,89,89
800,50507,3665,21615,100,100,100
900,55207,4611,27820,109,109,109
1000,58171,5875,34297,119,119,119